Area,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total,2011 population,"Reports of fights per 100,000 persons"
West Midlands,56,71,62,36,44,47,40,40,39,34,469,2736460,17.1
Torfaen,1,1,1,,2,,2,2,3,1,13,91075,14.3
South Yorkshire,18,24,9,17,16,25,17,19,17,27,189,1343601,14.1
Denbighshire,2,1,3,,1,,,1,2,3,13,93734,13.9
West Yorkshire,23,50,23,33,31,26,31,31,18,39,305,2226058,13.7
Nottinghamshire,12,20,11,15,17,16,15,11,20,11,148,1091482,13.6
Conwy,,1,,1,1,3,,3,4,1,14,115228,12.1
Bedfordshire,5,8,10,6,4,8,11,7,8,7,74,615061,12
Greater London,174,187,129,115,72,78,43,60,35,31,924,8173941,11.3
Bristol,6,5,2,3,6,1,6,4,7,5,45,428234,10.5
Merthyr Tydfil,1,,2,1,1,,,1,,,6,58802,10.2
County Durham,7,8,6,5,9,7,12,13,10,14,91,902444,10.1
Lancashire,14,17,8,9,15,14,13,14,24,19,147,1460893,10.1
Merseyside,33,20,16,8,9,7,12,9,8,16,138,1381189,10
Buckinghamshire,3,6,5,7,6,12,7,8,10,9,73,754104,9.7
Newport,1,1,4,,2,2,1,1,,2,14,145736,9.6
Staffordshire,10,10,11,13,5,7,12,8,6,19,101,1097497,9.2
Greater Manchester,31,27,17,28,25,20,19,25,29,17,238,2682528,8.9
Rhondda Cynon Taff,3,,3,3,3,,1,3,1,3,20,234410,8.5
Worcestershire,6,7,3,6,2,4,2,6,6,6,48,566169,8.5
Derbyshire,2,10,7,6,5,7,16,10,14,9,86,1018438,8.4
Caerphilly,,1,1,,2,2,3,1,4,1,15,178806,8.4
Kent,7,12,17,7,8,15,11,18,22,26,143,1727665,8.3
Cumbria,,2,1,3,3,10,7,5,4,5,40,499858,8
Cambridgeshire,4,3,5,3,9,8,8,9,8,7,64,804841,8
Cheshire,2,7,6,5,7,9,9,11,15,8,79,1027709,7.7
Monmouthshire,,2,,,,,2,1,1,1,7,91323,7.7
Cardiff,2,1,5,,,4,2,4,1,6,25,346090,7.2
North Yorkshire,7,12,8,6,4,9,5,2,9,15,77,1070016,7.2
Oxfordshire,3,1,6,4,6,9,4,5,4,5,47,653798,7.2
Blaenau Gwent,,,2,,1,,1,,1,,5,69814,7.2
Lincolnshire,4,1,4,7,9,7,11,9,13,9,74,"1,040,715",7.1
Herefordshire,2,1,1,2,2,1,,2,1,1,13,183477,7.1
Carmarthenshire,2,,,1,3,1,2,,3,1,13,183777,7.1
Berkshire,4,5,4,10,4,6,4,9,12,2,60,861870,7
East Riding of Yorkshire,,5,1,2,3,4,3,9,10,4,41,590585,6.9
Shropshire,2,1,3,2,3,6,4,3,7,1,32,472770,6.8
Powys,,1,2,,1,,1,2,,2,9,132976,6.8
Essex,9,9,10,9,9,17,10,13,16,10,112,"1,724,950",6.5
Wiltshire,,1,3,2,6,4,6,10,5,4,41,680137,6
Wrexham,,2,1,1,1,,,,2,1,8,134844,5.9
Swansea,,1,,1,,3,3,1,3,2,14,239023,5.9
Somerset,1,6,2,3,5,3,3,9,12,9,53,908554,5.8
Gwynedd,,1,,,,1,1,2,1,1,7,121874,5.7
Isle of Anglesey,,,,1,1,,,2,,,4,69751,5.7
Hertfordshire,2,9,7,5,3,10,8,8,6,6,64,1116062,5.7
Pembrokeshire,,1,,,,1,,2,2,1,7,122439,5.7
Gloucestershire,3,4,3,7,2,1,9,5,6,9,49,859751,5.7
East Sussex,3,6,3,2,7,6,4,4,2,7,44,"800,040",5.5
Ceredigion,,,,,,,1,1,2,,4,75922,5.3
Norfolk,4,3,6,1,4,7,7,4,4,5,45,857888,5.2
Leicestershire,1,2,2,3,3,8,10,11,6,5,51,980328,5.2
Cornwall,2,,,,1,7,1,6,9,1,27,532273,5.1
Bridgend,,,,,2,1,,2,,2,7,139178,5
Neath Port Talbot,,,,1,,1,,,2,3,7,139812,5
West Sussex,3,,6,8,7,2,1,5,4,4,40,806892,5
Tyne and Wear,5,2,1,1,7,9,3,9,5,11,53,1104825,4.8
Hampshire,3,3,3,14,3,6,13,8,12,18,83,1759726,4.7
Flintshire,2,1,,1,,1,,,1,1,7,152506,4.6
Warwickshire,,2,4,4,3,6,2,,2,1,24,545474,4.4
Suffolk,,6,6,1,6,2,4,1,4,2,32,728163,4.4
Northamptonshire,2,,1,1,2,5,2,3,7,7,30,691952,4.3
Devon,1,2,2,1,2,11,6,4,6,12,47,1133742,4.1
Surrey,,3,3,3,3,5,4,9,9,7,46,1132390,4.1
Northumberland,1,2,,,1,,1,3,2,2,12,316028,3.8
Dorset,2,4,,1,1,3,3,1,5,7,27,744041,3.6
Isle of Wight,1,2,,,,,,2,,,5,138265,3.6
The Vale of Glamorgan,1,,,,,,1,,1,1,4,126336,3.2
Rutland,,,,,1,,,,,,1,37369,2.7
